Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
Build_1.0/specbzip	1.671102	0.014245	0.000075	0.295246
Build_1.1/specbzip	1.843339	0.017314	0.000085	0.443763
Build_1.2/specbzip	1.654968	0.013753	0.000066	0.182456
Build_1.3/specbzip	1.646602	0.014603	0.000060	0.113915
Build_2.1/specbzip	1.671102	0.014245	0.000075	0.295246
Build_2.2/specbzip	1.671355	0.014245	0.000068	0.295238
Build_2.3/specbzip	1.671190	0.014246	0.000066	0.295241
Build_3.1/specbzip	1.671257	0.014245	0.000066	0.295279
Build_3.2/specbzip	1.671102	0.014245	0.000075	0.295246
Build_3.3/specbzip	1.671257	0.014245	0.000066	0.295279
Build_3.4/specbzip	1.671058	0.014246	0.000066	0.295276
Build_4.1/specbzip	1.703767	0.017947	0.000075	0.230408
Build_4.2/specbzip	1.671102	0.014245	0.000075	0.295246
Build_4.3/specbzip	1.641550	0.011249	0.000075	0.382558
Build_5.1/specbzip	1.689641	0.016188	0.000075	0.258114
Build_5.2/specbzip	1.671102	0.014245	0.000075	0.295246
Build_5.3/specbzip	1.662117	0.013341	0.000075	0.317083
Build_5.4/specbzip	1.655887	0.012733	0.000075	0.333661
Build_6.1/specbzip	1.749721	0.014235	0.000075	0.406043
Build_6.2/specbzip	1.699515	0.014243	0.000075	0.332525
Build_6.3/specbzip	1.671102	0.014245	0.000075	0.295246
Build_6.4/specbzip	1.644913	0.014245	0.000075	0.264317
Build_7.1/specbzip	1.691142	0.014225	0.000075	0.326783
Build_7.2/specbzip	1.676754	0.014238	0.000075	0.303387
Build_7.3/specbzip	1.670317	0.014242	0.000075	0.295327
Build_7.4/specbzip	1.671102	0.014245	0.000075	0.295246
