Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
Build_1.0/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_1.1/spechmmer	1.196935	0.003110	0.000185	0.078905
Build_1.2/spechmmer	1.181827	0.000880	0.000332	0.072330
Build_1.3/spechmmer	1.182151	0.000720	0.000464	0.044372
Build_2.1/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_2.2/spechmmer	1.187619	0.001629	0.000088	0.080828
Build_2.3/spechmmer	1.187589	0.001629	0.000079	0.081014
Build_3.1/spechmmer	1.316951	0.001629	0.034198	0.008483
Build_3.2/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_3.3/spechmmer	1.187734	0.001629	0.000131	0.079892
Build_3.4/spechmmer	1.187618	0.001629	0.000090	0.080737
Build_4.1/spechmmer	1.189585	0.002105	0.000213	0.060368
Build_4.2/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_4.3/spechmmer	1.186042	0.000672	0.000211	0.188343
Build_5.1/spechmmer	1.208637	0.003121	0.000212	0.041728
Build_5.2/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_5.3/spechmmer	1.187559	0.001584	0.000212	0.080600
Build_5.4/spechmmer	1.187375	0.001599	0.000212	0.079864
Build_6.1/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_6.2/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_6.3/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_6.4/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_7.1/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_7.2/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_7.3/spechmmer	1.187897	0.001628	0.000212	0.078295
Build_7.4/spechmmer	1.187897	0.001628	0.000212	0.078295
