Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
Build_1.0/speclibm	3.480837	0.060972	0.000095	0.999940
Build_1.1/speclibm	5.567547	0.121940	0.000085	0.999981
Build_1.2/speclibm	2.500400	0.030487	0.000106	0.999819
Build_1.3/speclibm	1.953798	0.015244	0.000127	0.999541
Build_2.1/speclibm	3.480837	0.060972	0.000095	0.999940
Build_2.2/speclibm	3.480963	0.060972	0.000087	0.999976
Build_2.3/speclibm	3.480963	0.060972	0.000085	0.999983
Build_3.1/speclibm	3.480963	0.060972	0.000124	0.999821
Build_3.2/speclibm	3.480837	0.060972	0.000095	0.999940
Build_3.3/speclibm	3.480963	0.060972	0.000089	0.999968
Build_3.4/speclibm	3.480963	0.060972	0.000085	0.999983
Build_4.1/speclibm	3.480837	0.060972	0.000095	0.999940
Build_4.2/speclibm	3.480837	0.060972	0.000095	0.999940
Build_4.3/speclibm	3.480837	0.060972	0.000095	0.999940
Build_5.1/speclibm	3.488803	0.061561	0.000095	0.986461
Build_5.2/speclibm	3.480837	0.060972	0.000095	0.999940
Build_5.3/speclibm	3.480837	0.060972	0.000095	0.999940
Build_5.4/speclibm	3.480837	0.060972	0.000095	0.999940
Build_6.1/speclibm	3.483610	0.060972	0.000095	0.999940
Build_6.2/speclibm	3.482711	0.060972	0.000095	0.999940
Build_6.3/speclibm	3.480837	0.060972	0.000095	0.999940
Build_6.4/speclibm	3.477260	0.060972	0.000095	0.999940
Build_7.1/speclibm	3.480837	0.060972	0.000095	0.999940
Build_7.2/speclibm	3.480837	0.060972	0.000095	0.999940
Build_7.3/speclibm	3.480837	0.060972	0.000095	0.999940
Build_7.4/speclibm	3.480837	0.060972	0.000095	0.999940
