Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
Build_1.0/specmcf	1.254641	0.002062	0.019032	0.067668
Build_1.1/specmcf	1.247727	0.003181	0.013259	0.159555
Build_1.2/specmcf	1.249501	0.001326	0.025666	0.027851
Build_1.3/specmcf	1.247327	0.001059	0.025708	0.014303
Build_2.1/specmcf	1.254641	0.002062	0.019032	0.067668
Build_2.2/specmcf	1.148962	0.002063	0.000019	0.730492
Build_2.3/specmcf	1.148962	0.002063	0.000019	0.730527
Build_3.1/specmcf	1.340425	0.002063	0.037910	0.035863
Build_3.2/specmcf	1.254641	0.002062	0.019032	0.067668
Build_3.3/specmcf	1.148961	0.002063	0.000020	0.730175
Build_3.4/specmcf	1.149012	0.002063	0.000019	0.730438
Build_4.1/specmcf	1.257133	0.002445	0.019032	0.066565
Build_4.2/specmcf	1.254641	0.002062	0.019032	0.067668
Build_4.3/specmcf	1.253332	0.001926	0.019032	0.068056
Build_5.1/specmcf	1.257955	0.002769	0.019030	0.065589
Build_5.2/specmcf	1.254641	0.002062	0.019032	0.067668
Build_5.3/specmcf	1.253907	0.001967	0.019032	0.067926
Build_5.4/specmcf	1.253531	0.001944	0.019032	0.067991
Build_6.1/specmcf	1.263332	0.002063	0.019034	0.078407
Build_6.2/specmcf	1.259006	0.002063	0.019033	0.072911
Build_6.3/specmcf	1.254641	0.002062	0.019032	0.067668
Build_6.4/specmcf	1.254135	0.002062	0.019032	0.067159
Build_7.1/specmcf	1.255156	0.002062	0.019032	0.068170
Build_7.2/specmcf	1.254768	0.002062	0.019032	0.067754
Build_7.3/specmcf	1.254840	0.002062	0.019032	0.067703
Build_7.4/specmcf	1.254641	0.002062	0.019032	0.067668
