Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
Build_1.0/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_1.1/specsjeng	17.496304	0.243656	0.000022	0.999989
Build_1.2/specsjeng	6.716114	0.060918	0.000014	0.999951
Build_1.3/specsjeng	4.887293	0.030461	0.000011	0.999890
Build_2.1/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_2.2/specsjeng	10.113727	0.121831	0.000019	0.999983
Build_2.3/specsjeng	10.114341	0.121831	0.000019	0.999985
Build_3.1/specsjeng	10.113727	0.121831	0.000021	0.999972
Build_3.2/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_3.3/specsjeng	10.113908	0.121831	0.000019	0.999982
Build_3.4/specsjeng	10.114447	0.121831	0.000019	0.999984
Build_4.1/specsjeng	10.114273	0.121832	0.000020	0.999967
Build_4.2/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_4.3/specsjeng	10.114177	0.121831	0.000020	0.999981
Build_5.1/specsjeng	10.114447	0.121858	0.000020	0.999543
Build_5.2/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_5.3/specsjeng	10.114298	0.121831	0.000020	0.999979
Build_5.4/specsjeng	10.114142	0.121831	0.000020	0.999979
Build_6.1/specsjeng	10.116093	0.121831	0.000020	0.999978
Build_6.2/specsjeng	10.115111	0.121831	0.000020	0.999978
Build_6.3/specsjeng	10.114142	0.121831	0.000020	0.999978
Build_6.4/specsjeng	10.110515	0.121831	0.000020	0.999978
Build_7.1/specsjeng	10.113631	0.121831	0.000020	0.999978
Build_7.2/specsjeng	10.113448	0.121831	0.000020	0.999978
Build_7.3/specsjeng	10.113562	0.121831	0.000020	0.999978
Build_7.4/specsjeng	10.114142	0.121831	0.000020	0.999978
